"key","display_name","aliases","ingredients","purpose","common_dosage","common_frequency","side_effects","warnings","avoid_if","rxnorm_id","rxnorm_name","drug_class","dosage_form","route","strength"
"mefenamic-acid","Mefenamic Acid","mefenamic acid|meftal|meftal spas","mefenamic acid","Used for pain and menstrual cramps when prescribed.","Use only as prescribed.","Follow doctor's prescription.","Stomach pain, acidity, nausea, diarrhea, or dizziness.","Use carefully in kidney disease, liver disease, asthma, or ulcer history.","Avoid if allergic to mefenamic acid or NSAIDs.","","","NSAID / Pain reliever","Tablet / Oral","Oral","Not available"
"azithromycin","Azithromycin","azithromycin|azythromycin|azithromicin|azithral|azee|zithromax","azithromycin","Prescription antibiotic used for certain bacterial infections.","Use only as prescribed by the doctor.","Follow doctor's prescription.","Nausea, vomiting, diarrhea, stomach pain, headache, or rash.","Do not use without prescription. Antibiotics are not useful for viral infections. Complete course only as advised by doctor.","Avoid if allergic to azithromycin or macrolide antibiotics.","","","Antibiotic","Tablet / Oral","Oral","Not available"
"azithral","Azithral / Azithromycin","azithral|azithromycin|azee|microbact","azithromycin","Antibiotic used for bacterial infections when prescribed.","Use only as prescribed. Complete the full course.","Follow doctor's prescription.","Nausea, diarrhea, stomach pain, vomiting, headache, or rash.","Do not self-use antibiotics. Complete the course. Use carefully in liver disease or heart rhythm problems.","Avoid if allergic to azithromycin or macrolide antibiotics.","","","Antibiotic","Tablet / Oral","Oral","Not available"
"microbact","Microbact / Azithromycin","microbact|microbact 500|azithromycin","azithromycin","Antibiotic used for bacterial infections when prescribed.","Use only as prescribed. Complete the full course.","Follow doctor's prescription.","Nausea, diarrhea, stomach pain, vomiting, headache, or rash.","Do not self-use antibiotics. Complete the course even if symptoms improve.","Avoid if allergic to azithromycin or macrolide antibiotics.","","","Antibiotic","Tablet / Oral","Oral","Not available"
"amoxicillin","Amoxicillin","amoxicillin|amoxil|amoxcillin|amoxycillin","amoxicillin","Antibiotic used for bacterial infections when prescribed.","Use only as prescribed. Complete the full course.","Follow doctor's prescription.","Nausea, diarrhea, rash, stomach discomfort, or allergy.","Do not self-use antibiotics. Inform doctor about penicillin allergy.","Avoid if allergic to amoxicillin, penicillin, or similar antibiotics.","","","Antibiotic","Tablet / Oral","Oral","Not available"
"amoxicillin-clavulanate","Amoxicillin + Clavulanate","amoxicillin clavulanate|augmentin|clavam|moxclav|amoxyclav","amoxicillin, clavulanic acid","Antibiotic combination used for bacterial infections when prescribed.","Use only as prescribed. Complete the full course.","Follow doctor's prescription.","Diarrhea, nausea, stomach pain, rash, or yeast infection.","Do not self-use antibiotics. Use carefully in liver disease or allergy history.","Avoid if allergic to penicillin antibiotics or clavulanate.","","","Antibiotic","Tablet / Oral","Oral","Not available"
"cefixime","Cefixime","cefixime|taxim-o|zifi|cefix","cefixime","Cephalosporin antibiotic used for bacterial infections when prescribed.","Use only as prescribed. Complete the full course.","Follow doctor's prescription.","Diarrhea, nausea, stomach pain, headache, or rash.","Do not self-use antibiotics. Inform doctor about cephalosporin or penicillin allergy.","Avoid if allergic to cefixime or cephalosporin antibiotics.","","","Antibiotic","Tablet / Oral","Oral","Not available"
"cefuroxime","Cefuroxime","cefuroxime|ceftum|zinnat","cefuroxime","Cephalosporin antibiotic used for bacterial infections when prescribed.","Use only as prescribed. Complete the full course.","Follow doctor's prescription.","Diarrhea, nausea, stomach discomfort, headache, or rash.","Do not self-use antibiotics. Use carefully if allergic to beta-lactam antibiotics.","Avoid if allergic to cefuroxime or cephalosporins.","","","Antibiotic","Tablet / Oral","Oral","Not available"
"cephalexin","Cephalexin","cephalexin|cefalexin","cephalexin","Antibiotic used for certain bacterial infections when prescribed.","Use only as prescribed. Complete the full course.","Follow doctor's prescription.","Diarrhea, nausea, stomach pain, dizziness, or rash.","Do not self-use antibiotics. Antibiotics do not work for viral cold/flu.","Avoid if allergic to cephalexin or cephalosporins.","","","Antibiotic","Tablet / Oral","Oral","Not available"
"doxycycline","Doxycycline","doxycycline|doxy|doxy 100","doxycycline","Antibiotic used for bacterial infections, acne, and certain tick-borne infections when prescribed.","Use only as prescribed. Complete the full course.","Follow doctor's prescription.","Nausea, vomiting, diarrhea, acidity, sunlight sensitivity, or rash.","Avoid unnecessary sun exposure. Do not self-use antibiotics.","Avoid if allergic to doxycycline/tetracyclines. Use in pregnancy/children only with doctor advice.","","","Antibiotic","Tablet / Oral","Oral","Not available"
"metronidazole","Metronidazole","metronidazole|flagyl|metrogyl","metronidazole","Used for certain bacterial and protozoal infections when prescribed.","Use only as prescribed. Complete the full course.","Follow doctor's prescription.","Metallic taste, nausea, stomach pain, headache, or dizziness.","Avoid alcohol during treatment and for the advised period after treatment.","Avoid if allergic to metronidazole or similar medicines.","","","Antibiotic","Tablet / Oral","Oral","Not available"
"ciprofloxacin","Ciprofloxacin","ciprofloxacin|ciplox|cifran","ciprofloxacin","Antibiotic used for certain bacterial infections when prescribed.","Use only as prescribed. Complete the full course.","Follow doctor's prescription.","Nausea, diarrhea, dizziness, headache, tendon pain, or rash.","Use carefully in tendon problems, heart rhythm issues, seizures, pregnancy, or elderly patients.","Avoid if allergic to ciprofloxacin or fluoroquinolone antibiotics.","","","Antibiotic","Tablet / Oral","Oral","Not available"
"levofloxacin","Levofloxacin","levofloxacin|levoflox|levaquin","levofloxacin","Antibiotic used for certain bacterial infections when prescribed.","Use only as prescribed. Complete the full course.","Follow doctor's prescription.","Nausea, diarrhea, dizziness, headache, tendon pain, or rash.","Use carefully in tendon problems, heart rhythm issues, seizures, or elderly patients.","Avoid if allergic to levofloxacin or fluoroquinolone antibiotics.","","","Antibiotic","Tablet / Oral","Oral","Not available"
"ofloxacin","Ofloxacin","ofloxacin|oflox|zanocin","ofloxacin","Antibiotic used for certain bacterial infections when prescribed.","Use only as prescribed. Complete the full course.","Follow doctor's prescription.","Nausea, diarrhea, dizziness, headache, or tendon pain.","Use carefully in tendon problems, seizures, heart rhythm issues, or elderly patients.","Avoid if allergic to ofloxacin or fluoroquinolones.","","","Antibiotic","Tablet / Oral","Oral","Not available"
"norfloxacin","Norfloxacin","norfloxacin|norflox|norflox tz","norfloxacin","Antibiotic used for certain bacterial infections when prescribed.","Use only as prescribed. Complete the full course.","Follow doctor's prescription.","Nausea, diarrhea, dizziness, headache, or stomach discomfort.","Use carefully in kidney disease, tendon problems, seizures, or heart rhythm issues.","Avoid if allergic to norfloxacin or fluoroquinolones.","","","Antibiotic","Tablet / Oral","Oral","Not available"
"cetirizine","Cetirizine","cetirizine|cetrizine|cetrizin|cetrezine|cetzine|zyrtec|alerid","cetirizine","Used for allergy symptoms such as sneezing, runny nose, itching, and watery eyes.","Use only as prescribed.","Follow doctor's prescription.","Drowsiness, dry mouth, tiredness, dizziness, or headache.","May cause sleepiness. Avoid driving if drowsy.","Avoid if allergic to cetirizine or similar antihistamines.","","","Antihistamine / Antiallergic","Tablet / Oral","Oral","Not available"
"cetzine","Cetzine / Cetirizine","cetzine|cetirizine|cetrizine|alerid","cetirizine","Used for allergy symptoms such as sneezing, runny nose, itching, and watery eyes.","Use only as prescribed.","Follow doctor's prescription.","Drowsiness, dry mouth, tiredness, dizziness, or headache.","May cause sleepiness. Avoid driving if drowsy.","Avoid if allergic to cetirizine.","","","Antihistamine / Antiallergic","Tablet / Oral","Oral","Not available"
"levocetirizine","Levocetirizine","levocetirizine|levo cetirizine|levocet|levocetrizine|levocetrizin|xyzal","levocetirizine","Used for allergy symptoms and hives.","Use only as prescribed.","Follow doctor's prescription.","Sleepiness, tiredness, dry mouth, headache, or dizziness.","May cause sleepiness. Use carefully in kidney disease. Avoid driving if drowsy.","Avoid if allergic to levocetirizine or cetirizine.","","","Antihistamine / Antiallergic","Tablet / Oral","Oral","Not available"
"fexofenadine","Fexofenadine","fexofenadine|allegra|fexo","fexofenadine","Used for allergy symptoms and hives.","Use only as prescribed.","Follow doctor's prescription.","Headache, dizziness, nausea, or tiredness.","Avoid taking with fruit juice if advised because it may reduce absorption.","Avoid if allergic to fexofenadine.","","","Antihistamine / Antiallergic","Tablet / Oral","Oral","Not available"
"loratadine","Loratadine","loratadine|lorfast|claritin","loratadine","Used for allergy symptoms such as sneezing, runny nose, itching, and hives.","Use only as prescribed.","Follow doctor's prescription.","Headache, sleepiness, dry mouth, or tiredness.","Use carefully in liver disease. Avoid driving if sleepy.","Avoid if allergic to loratadine.","","","Antihistamine / Antiallergic","Tablet / Oral","Oral","Not available"
"chlorpheniramine","Chlorpheniramine","chlorpheniramine|cpm|piriton","chlorpheniramine","Used for allergy symptoms, cold-related sneezing, and runny nose.","Use only as prescribed.","Follow doctor's prescription.","Drowsiness, dry mouth, blurred vision, constipation, or dizziness.","May cause strong sleepiness. Avoid driving or alcohol.","Avoid if allergic or if advised against in glaucoma, urinary retention, or prostate problems.","","","Antihistamine / Antiallergic","Tablet / Oral","Oral","Not available"
"montelukast","Montelukast","montelukast|montair|montek","montelukast","Used for asthma/allergy-related symptoms when prescribed.","Use only as prescribed.","Follow doctor's prescription.","Headache, stomach pain, cough, tiredness, or mood changes.","Report mood changes, sleep disturbance, depression, or unusual behavior to doctor.","Avoid if allergic to montelukast.","","","Antihistamine / Leukotriene receptor antagonist","Tablet / Oral","Oral","Not available"
"ebast-m","Ebast-M","ebast-m|ebast m|ebastm|ebast|east m|esas m","ebastine, montelukast","Used for allergy-related symptoms and allergic rhinitis when prescribed.","Use only as prescribed.","Follow doctor's prescription.","Headache, dry mouth, drowsiness, dizziness, nausea, or stomach discomfort.","May cause sleepiness. Use carefully in liver disease, kidney disease, asthma, pregnancy, or breastfeeding.","Avoid if allergic to ebastine, montelukast, or similar medicines.","","","Antihistamine / Leukotriene receptor antagonist","Tablet / Oral","Oral","Not available"
"relent","Relent Tablet","relent|relent tablet|eelent|relentt|relnt|reient","ambroxol, cetirizine","Used for cough with mucus and allergy symptoms such as sneezing, runny nose, watery eyes, cough, and congestion.","Use only as prescribed.","Follow doctor's prescription.","Sleepiness, dry mouth, dizziness, headache, diarrhea, nausea, or tiredness.","May cause drowsiness. Avoid driving if sleepy. Use carefully in liver or kidney disease.","Avoid if allergic to ambroxol, cetirizine, or similar medicines.","","","Antihistamine / Antiallergic","Tablet / Oral","Oral","Not available"
"pantoprazole","Pantoprazole","pantoprazole|pantocid|pan 40|pantop 40|pantocd","pantoprazole","Used for acidity, acid reflux, gastritis, and stomach protection.","Use only as prescribed.","Usually taken before food if advised by doctor.","Headache, nausea, abdominal pain, diarrhea, or gas.","Long-term use should be monitored by a doctor.","Avoid if allergic to pantoprazole.","","","Proton pump inhibitor","Tablet / Oral","Oral","Not available"
"pantocid","Pantocid / Pantoprazole","pantocid|pantocid 40|pantoprazole|pan 40|pantocd|pantacid","pantoprazole","Used for acidity, acid reflux, gastritis, and stomach protection.","Use only as prescribed.","Usually taken before food if advised by doctor.","Headache, nausea, abdominal pain, diarrhea, or gas.","Long-term use should be monitored by a doctor.","Avoid if allergic to pantoprazole.","","","Proton pump inhibitor","Tablet / Oral","Oral","Not available"
"omeprazole","Omeprazole","omeprazole|omez|ocid","omeprazole","Used for acidity, acid reflux, GERD, and gastritis.","Use only as prescribed.","Usually taken before food if advised by doctor.","Headache, abdominal pain, nausea, diarrhea, or gas.","Long-term use should be monitored by a doctor.","Avoid if allergic to omeprazole.","","","Proton pump inhibitor","Tablet / Oral","Oral","Not available"
"omez","Omez / Omeprazole","omez|omeprazole|ocid","omeprazole","Used for acidity, acid reflux, GERD, and gastritis.","Use only as prescribed.","Usually taken before food if advised by doctor.","Headache, abdominal pain, nausea, diarrhea, or gas.","Long-term use should be monitored by a doctor.","Avoid if allergic to omeprazole.","","","Proton pump inhibitor","Tablet / Oral","Oral","Not available"
"rabeprazole","Rabeprazole","rabeprazole|razo|rablet","rabeprazole","Used for acidity, acid reflux, gastritis, and stomach ulcer-related conditions.","Use only as prescribed.","Usually taken before food if advised by doctor.","Headache, nausea, diarrhea, constipation, or abdominal pain.","Long-term use should be monitored by a doctor.","Avoid if allergic to rabeprazole.","","","Proton pump inhibitor","Tablet / Oral","Oral","Not available"
"esomeprazole","Esomeprazole","esomeprazole|nexpro|esomep","esomeprazole","Used for acid reflux, GERD, gastritis, and stomach protection.","Use only as prescribed.","Usually taken before food if advised by doctor.","Headache, nausea, diarrhea, abdominal pain, or gas.","Long-term use should be monitored by a doctor.","Avoid if allergic to esomeprazole.","","","Proton pump inhibitor","Tablet / Oral","Oral","Not available"
"domperidone","Domperidone","domperidone|domstal|motilium","domperidone","Used for nausea, vomiting, and gastric motility problems when prescribed.","Use only as prescribed.","Follow doctor's prescription.","Dry mouth, stomach cramps, headache, or dizziness.","Use carefully in heart rhythm problems or liver disease.","Avoid if allergic to domperidone or if doctor advised against it due to heart rhythm risk.","","","Antiemetic / Prokinetic","Tablet / Oral","Oral","Not available"
"ondansetron","Ondansetron","ondansetron|emset|ondem|vomikind","ondansetron","Used for nausea and vomiting when prescribed.","Use only as prescribed.","Follow doctor's prescription.","Headache, constipation, dizziness, or tiredness.","Use carefully in heart rhythm problems or with medicines affecting QT interval.","Avoid if allergic to ondansetron.","","","Antiemetic","Tablet / Oral","Oral","Not available"
"loperamide","Loperamide","loperamide|lopamide|imodium","loperamide","Used for short-term diarrhea control when appropriate.","Use only as prescribed.","Follow doctor's prescription.","Constipation, dizziness, stomach cramps, or nausea.","Do not use for bloody diarrhea, high fever, or suspected infection without medical advice.","Avoid if allergic to loperamide or if severe colitis/acute dysentery is suspected.","","","Antidiarrheal","Tablet / Oral","Oral","Not available"
"ors","ORS / Oral Rehydration Salts","ors|oral rehydration salts|electral","oral rehydration salts","Used to replace fluids and electrolytes in diarrhea, vomiting, or dehydration.","Use as directed on packet or by doctor.","Follow doctor's prescription or packet directions.","Usually well tolerated; too much may cause electrolyte imbalance.","Prepare with correct amount of clean water. Do not make overly concentrated solution.","Avoid if doctor has restricted fluids/salts or if severe dehydration needs urgent care.","","","Oral rehydration salt","Powder / Sachet","Oral","Not available"
"antacid","Antacid","antacid|digene|gelusil|eno","antacid salts","Used for acidity, heartburn, and indigestion relief.","Use as directed or prescribed.","Follow doctor's prescription or packet directions.","Constipation, diarrhea, gas, or stomach discomfort.","Separate from other medicines if advised because antacids may affect absorption.","Avoid if allergic or if severe kidney disease unless doctor advises.","","","Antacid","Tablet / Oral","Oral","Not available"
"salbutamol","Salbutamol","salbutamol|albuterol|asthalin|ventolin","salbutamol","Used for wheezing, bronchospasm, and asthma/COPD symptoms when prescribed.","Use only as prescribed.","Follow doctor's prescription.","Tremor, fast heartbeat, headache, nervousness, or muscle cramps.","Seek urgent help if breathing difficulty is severe or not improving.","Avoid if allergic to salbutamol.","","","Bronchodilator","Inhaler / Nebulization","Inhalation","Not available"
"budesonide","Budesonide","budesonide|budecort","budesonide","Steroid medicine used for asthma/allergy/inflammation control when prescribed.","Use only as prescribed.","Follow doctor's prescription.","Throat irritation, hoarseness, cough, or oral fungal infection with inhaled forms.","Rinse mouth after inhaled use if advised. Do not stop steroid suddenly without advice.","Avoid if allergic to budesonide.","","","Antihistamine / Antiallergic","Inhaler / Nebulization","Inhalation","Not available"
"ambroxol","Ambroxol","ambroxol|mucolite|ambrodil","ambroxol","Used to help loosen mucus in productive cough when prescribed.","Use only as prescribed.","Follow doctor's prescription.","Nausea, stomach discomfort, dry mouth, or rash.","Use carefully in gastric ulcer, severe liver/kidney disease, or allergy history.","Avoid if allergic to ambroxol.","","","Expectorant / Mucolytic","Tablet / Oral","Oral","Not available"
"guaifenesin","Guaifenesin","guaifenesin|expectorant","guaifenesin","Used as an expectorant to help loosen mucus in cough.","Use only as prescribed.","Follow doctor's prescription.","Nausea, vomiting, dizziness, headache, or stomach discomfort.","Drink fluids if advised. Seek care for persistent cough, fever, or breathing difficulty.","Avoid if allergic to guaifenesin.","","","Expectorant / Mucolytic","Tablet / Oral","Oral","Not available"
"dextromethorphan","Dextromethorphan Syrup","dextromethorphan|dextromethorphan syrup|dm|dxm|benadryl dry cough|cough syrup","dextromethorphan","Used for dry cough suppression when appropriate.","Use only as prescribed.","Follow doctor's prescription.","Drowsiness, dizziness, nausea, or stomach discomfort.","Avoid combining with certain antidepressants unless doctor advises. Seek care for persistent cough or breathing difficulty.","Avoid if allergic or if taking interacting medicines without advice.","","","Cough suppressant","Syrup","Oral","Not available"
"metformin","Metformin","metformin|glycomet|glucophage|metformn|metfornin","metformin","Used for type 2 diabetes management when prescribed.","Use only as prescribed.","Follow doctor's prescription.","Nausea, diarrhea, stomach upset, metallic taste, or weakness.","Use carefully in kidney disease. Seek help for severe weakness, breathing trouble, or unusual symptoms.","Avoid if allergic to metformin or severe kidney disease unless doctor approves.","","","Antidiabetic","Tablet / Oral","Oral","Not available"
"glimepiride","Glimepiride","glimepiride|amaryl","glimepiride","Used for type 2 diabetes management when prescribed.","Use only as prescribed.","Follow doctor's prescription.","Low blood sugar, dizziness, sweating, hunger, nausea, or headache.","Monitor for hypoglycemia. Do not skip meals if medicine requires food.","Avoid if allergic to sulfonylureas or if doctor advised against it.","","","Antidiabetic","Tablet / Oral","Oral","Not available"
"gliclazide","Gliclazide","gliclazide|diamicrox","gliclazide","Used for type 2 diabetes management when prescribed.","Use only as prescribed.","Follow doctor's prescription.","Low blood sugar, sweating, dizziness, hunger, nausea, or stomach upset.","Monitor for hypoglycemia. Use carefully in kidney/liver disease.","Avoid if allergic to sulfonylureas.","","","Antidiabetic","Tablet / Oral","Oral","Not available"
"amlodipine","Amlodipine","amlodipine|amlopres|stamlo","amlodipine","Used for high blood pressure and certain heart-related conditions when prescribed.","Use only as prescribed.","Follow doctor's prescription.","Ankle swelling, flushing, headache, dizziness, or tiredness.","Do not stop BP medicine suddenly without doctor advice.","Avoid if allergic to amlodipine.","","","Antihypertensive","Tablet / Oral","Oral","Not available"
"telmisartan","Telmisartan","telmisartan|telma|telsar","telmisartan","Used for high blood pressure and heart/kidney protection in selected patients when prescribed.","Use only as prescribed.","Follow doctor's prescription.","Dizziness, low BP, high potassium, or kidney function changes.","Use carefully in kidney disease. Avoid during pregnancy unless doctor specifically advises.","Avoid if allergic to telmisartan or during pregnancy unless medically directed.","","","Antihypertensive","Tablet / Oral","Oral","Not available"
"losartan","Losartan","losartan|losar","losartan","Used for high blood pressure and kidney protection in selected patients when prescribed.","Use only as prescribed.","Follow doctor's prescription.","Dizziness, tiredness, low BP, high potassium, or kidney function changes.","Avoid during pregnancy unless doctor specifically advises. Monitor kidney/potassium if advised.","Avoid if allergic to losartan.","","","Antihypertensive","Tablet / Oral","Oral","Not available"
"atenolol","Atenolol","atenolol|tenormin|aten","atenolol","Used for high blood pressure, angina, and heart rate control when prescribed.","Use only as prescribed.","Follow doctor's prescription.","Slow heart rate, dizziness, tiredness, cold hands/feet, or sleep disturbance.","Do not stop suddenly. Use carefully in asthma, diabetes, or heart block.","Avoid if allergic or if severe slow heart rate/heart block unless doctor advises.","","","Antihypertensive","Tablet / Oral","Oral","Not available"
"metoprolol","Metoprolol","metoprolol|metolar|betaloc","metoprolol","Used for high blood pressure, angina, heart rate control, and selected heart conditions.","Use only as prescribed.","Follow doctor's prescription.","Tiredness, dizziness, slow heartbeat, cold extremities, or sleep issues.","Do not stop suddenly. Use carefully in asthma, diabetes, or heart block.","Avoid if allergic or if severe slow heart rate/heart block unless doctor advises.","","","Antihypertensive","Tablet / Oral","Oral","Not available"
"atorvastatin","Atorvastatin","atorvastatin|atorva|lipitor","atorvastatin","Used for high cholesterol and cardiovascular risk reduction when prescribed.","Use only as prescribed.","Follow doctor's prescription.","Muscle pain, stomach upset, headache, or liver enzyme changes.","Report unexplained muscle pain/weakness. Use carefully in liver disease.","Avoid if allergic to atorvastatin or active liver disease unless doctor advises.","","","Statin / Lipid-lowering agent","Tablet / Oral","Oral","Not available"
"rosuvastatin","Rosuvastatin","rosuvastatin|rosuvas|crestor","rosuvastatin","Used for high cholesterol and cardiovascular risk reduction when prescribed.","Use only as prescribed.","Follow doctor's prescription.","Muscle pain, headache, stomach upset, or liver enzyme changes.","Report unexplained muscle pain/weakness. Use carefully in liver or kidney disease.","Avoid if allergic to rosuvastatin or active liver disease unless doctor advises.","","","Statin / Lipid-lowering agent","Tablet / Oral","Oral","Not available"
"clotrimazole","Clotrimazole","clotrimazole|candid cream|candid","clotrimazole","Antifungal used for fungal skin infections when appropriate.","Use only as prescribed or as directed.","Follow doctor's prescription.","Skin burning, irritation, redness, or itching.","Avoid contact with eyes. Seek care if infection worsens or spreads.","Avoid if allergic to clotrimazole or azole antifungals.","","","Antifungal","Cream / Topical","Topical","Not available"
"terbinafine","Terbinafine","terbinafine|lamisil|terbinaforce","terbinafine","Antifungal used for fungal infections when prescribed.","Use only as prescribed.","Follow doctor's prescription.","Skin irritation for topical use; stomach upset, headache, or rash for oral use.","Oral use may require liver monitoring. Do not self-use long courses.","Avoid if allergic to terbinafine or severe liver disease unless doctor advises.","","","Antifungal","Tablet / Oral","Topical","Not available"
"miconazole","Miconazole","miconazole|daktarin","miconazole","Antifungal used for fungal skin or mouth infections when prescribed.","Use only as prescribed.","Follow doctor's prescription.","Local irritation, burning, itching, nausea, or taste changes depending on form.","Use carefully with interacting medicines such as blood thinners if oral/buccal form.","Avoid if allergic to miconazole.","","","Antifungal","Tablet / Oral","Topical","Not available"
"mupirocin","Mupirocin","mupirocin|t-bact|bactroban","mupirocin","Topical antibiotic used for certain bacterial skin infections when prescribed.","Use only as prescribed.","Follow doctor's prescription.","Local burning, itching, redness, or irritation.","Use only on affected area as advised. Avoid unnecessary antibiotic use.","Avoid if allergic to mupirocin.","","","Topical antibiotic","Tablet / Oral","Topical","Not available"
"povidone-iodine","Povidone Iodine","povidone iodine|betadine","povidone iodine","Antiseptic used for minor cuts, wounds, and skin disinfection.","Use as directed or prescribed.","Follow doctor's prescription or label directions.","Skin irritation, burning, redness, or allergy.","Use carefully in thyroid disease, large wounds, pregnancy, or infants.","Avoid if allergic to iodine/povidone iodine.","","","Antiseptic","Solution / Topical","Topical","Not available"
"vitamin-d3","Vitamin D3","vitamin d3|cholecalciferol|d-rise|calcirol","cholecalciferol","Used for vitamin D deficiency and bone health when prescribed.","Use only as prescribed.","Follow doctor's prescription.","Nausea, constipation, weakness, or high calcium symptoms if overdosed.","Avoid overdose. Use carefully in kidney stones or high calcium levels.","Avoid if allergic or if high calcium unless doctor advises.","","","Vitamin / Mineral supplement","Capsule / Sachet","Oral","Not available"
"calcium","Calcium Supplement","calcium|calcium carbonate|shelcal|calcirol calcium","calcium salts","Used for calcium deficiency and bone health when prescribed.","Use only as prescribed.","Follow doctor's prescription.","Constipation, gas, stomach upset, or high calcium if overdosed.","Separate from some medicines if advised. Avoid excess intake.","Avoid if high calcium, kidney stones, or severe kidney disease unless doctor advises.","","","Vitamin / Mineral supplement","Capsule / Sachet","Oral","Not available"
"iron-folic-acid","Iron + Folic Acid","iron folic acid|folic acid iron|orofer|ferium|livogen","iron, folic acid","Used for iron deficiency anemia and supplementation when prescribed.","Use only as prescribed.","Follow doctor's prescription.","Constipation, dark stools, nausea, stomach pain, or metallic taste.","Keep away from children. Iron overdose can be dangerous.","Avoid if iron overload disorder or allergy unless doctor advises.","","","Vitamin / Mineral supplement","Tablet / Oral","Oral","Not available"
