condition_name,condition_slug,symptom_names,symptom_slugs,symptom_probabilities,text,num_symptoms,max_symptom_probability,mean_symptom_probability,urgent_score,gp_score,self_score,label,override_applied,text_len_words,label_numeric
Head injury,head-injury,"['Headache', 'Neck pain', 'Dizziness', 'Back pain', 'Fainting', 'Facial pain', 'Lip swelling']","['headache', 'neck-pain', 'dizziness', 'back-pain', 'fainting', 'facial-pain', 'lip-swelling']","[68, 36, 29, 25, 15, 12, 3]","Condition: Head injury. Patient reports: Headache, Neck pain, Dizziness, Back pain, Fainting, Facial pain, Lip swelling.",7,68,26.857142857142858,1,3,0,urgent,False,16,2
Urinary tract infection,urinary-tract-infection,"['Painful urination', 'Suprapubic pain', 'Sharp abdominal pain', 'Frequent urination', 'Fever', 'Vomiting', 'Back pain']","['painful-urination', 'suprapubic-pain', 'sharp-abdominal-pain', 'frequent-urination', 'fever', 'vomiting', 'back-pain']","[65, 60, 60, 46, 42, 40, 36]","Condition: Urinary tract infection. Patient reports: Painful urination, Suprapubic pain, Sharp abdominal pain, Frequent urination, Fever, Vomiting, Back pain.",7,65,49.85714285714285,0,5,0,consult_gp,False,19,1
Peritonsillar abscess,peritonsillar-abscess,"['Sore throat', 'Difficulty in swallowing', 'Swollen or red tonsils', 'Fever', 'Ear pain', 'Throat feels tight', 'Headache']","['sore-throat', 'difficulty-in-swallowing', 'swollen-or-red-tonsils', 'fever', 'ear-pain', 'throat-feels-tight', 'headache']","[94, 62, 41, 41, 41, 34, 26]","Condition: Peritonsillar abscess. Patient reports: Sore throat, Difficulty in swallowing, Swollen or red tonsils, Fever, Ear pain, Throat feels tight, Headache.",7,94,48.42857142857143,0,4,0,consult_gp,False,21,1
Premature ovarian failure,premature-ovarian-failure,"['Infertility', 'Unpredictable menstruation', 'Absence of menstruation', 'Pelvic pain', 'Weight gain', 'Heavy menstrual flow', 'Hot flashes']","['infertility', 'unpredictable-menstruation', 'absence-of-menstruation', 'pelvic-pain', 'weight-gain', 'heavy-menstrual-flow', 'hot-flashes']","[82, 22, 22, 18, 13, 7, 7]","Condition: Premature ovarian failure. Patient reports: Infertility, Unpredictable menstruation, Absence of menstruation, Pelvic pain, Weight gain, Heavy menstrual flow, Hot flashes.",7,82,24.428571428571427,0,0,0,self_monitor,False,21,0
Injury to the arm,injury-to-the-arm,"['Wrist pain', 'Elbow pain', 'Arm pain', 'Hand or finger pain', 'Loss of sensation', 'Wrist swelling', 'Hand or finger swelling']","['wrist-pain', 'elbow-pain', 'arm-pain', 'hand-or-finger-pain', 'loss-of-sensation', 'wrist-swelling', 'hand-or-finger-swelling']","[80, 69, 54, 38, 21, 19, 14]","Condition: Injury to the arm. Patient reports: Wrist pain, Elbow pain, Arm pain, Hand or finger pain, Loss of sensation, Wrist swelling, Hand or finger swelling.",7,80,42.142857142857146,0,0,0,self_monitor,False,26,0
Open wound from surgical incision,open-wound-from-surgical-incision,"['Skin lesion', 'Skin swelling', 'Recent pregnancy', 'Knee swelling', 'Flatulence', 'Skin on leg or foot looks infected', 'Heavy menstrual flow']","['skin-lesion', 'skin-swelling', 'recent-pregnancy', 'knee-swelling', 'flatulence', 'skin-on-leg-or-foot-looks-infected', 'heavy-menstrual-flow']","[21, 10, 10, 5, 5, 5, 5]","Condition: Open wound from surgical incision. Patient reports: Skin lesion, Skin swelling, Recent pregnancy, Knee swelling, Flatulence, Skin on leg or foot looks infected, Heavy menstrual flow.",7,21,8.714285714285714,0,0,1,self_monitor,False,27,0
Hirschsprung disease,hirschsprung-disease,"['Constipation', 'Ankle pain', 'Vomiting', 'Sharp abdominal pain', 'Wrist weakness', 'Elbow weakness', 'Eye strain']","['constipation', 'ankle-pain', 'vomiting', 'sharp-abdominal-pain', 'wrist-weakness', 'elbow-weakness', 'eye-strain']","[86, 41, 41, 41, 3, 3, 3]","Condition: Hirschsprung disease. Patient reports: Constipation, Ankle pain, Vomiting, Sharp abdominal pain, Wrist weakness, Elbow weakness, Eye strain.",7,86,31.142857142857142,0,2,0,consult_gp,False,18,1
Coronary atherosclerosis,coronary-atherosclerosis,"['Sharp chest pain', 'Shortness of breath', 'Fatigue', 'Chest tightness', 'Palpitations', 'Irregular heartbeat', 'Lymphedema']","['sharp-chest-pain', 'shortness-of-breath', 'fatigue', 'chest-tightness', 'palpitations', 'irregular-heartbeat', 'lymphedema']","[55, 41, 20, 18, 12, 5, 5]","Condition: Coronary atherosclerosis. Patient reports: Sharp chest pain, Shortness of breath, Fatigue, Chest tightness, Palpitations, Irregular heartbeat, Lymphedema.",7,55,22.285714285714285,3,3,0,urgent,False,18,2
Ovarian cyst,ovarian-cyst,"['Sharp abdominal pain', 'Lower abdominal pain', 'Pelvic pain', 'Vomiting', 'Side pain', 'Nausea', 'Burning abdominal pain']","['sharp-abdominal-pain', 'lower-abdominal-pain', 'pelvic-pain', 'vomiting', 'side-pain', 'nausea', 'burning-abdominal-pain']","[81, 59, 50, 38, 38, 37, 31]","Condition: Ovarian cyst. Patient reports: Sharp abdominal pain, Lower abdominal pain, Pelvic pain, Vomiting, Side pain, Nausea, Burning abdominal pain.",7,81,47.71428571428572,0,2,0,self_monitor,True,20,0
Hypergammaglobulinemia,hypergammaglobulinemia,"['Fatigue', 'Hip stiffness or tightness', 'Blood in stool', 'Knee stiffness or tightness']","['fatigue', 'hip-stiffness-or-tightness', 'blood-in-stool', 'knee-stiffness-or-tightness']","[41, 8, 8, 8]","Condition: Hypergammaglobulinemia. Patient reports: Fatigue, Hip stiffness or tightness, Blood in stool, Knee stiffness or tightness.",4,41,16.25,0,1,0,consult_gp,False,16,1
Blepharospasm,blepharospasm,"['Abnormal movement of eyelid', 'Diminished vision', 'Eye moves abnormally', 'Leg weakness', 'Pain during intercourse', 'Eyelid lesion or rash', 'Arm weakness']","['abnormal-movement-of-eyelid', 'diminished-vision', 'eye-moves-abnormally', 'leg-weakness', 'pain-during-intercourse', 'eyelid-lesion-or-rash', 'arm-weakness']","[79, 43, 27, 27, 27, 27, 27]","Condition: Blepharospasm. Patient reports: Abnormal movement of eyelid, Diminished vision, Eye moves abnormally, Leg weakness, Pain during intercourse, Eyelid lesion or rash, Arm weakness.",7,79,36.71428571428572,2,0,0,urgent,False,24,2
Heat exhaustion,heat-exhaustion,"['Dizziness', 'Weakness', 'Headache', 'Fainting', 'Vomiting', 'Nausea', 'Sharp chest pain']","['dizziness', 'weakness', 'headache', 'fainting', 'vomiting', 'nausea', 'sharp-chest-pain']","[80, 68, 64, 61, 58, 58, 42]","Condition: Heat exhaustion. Patient reports: Dizziness, Weakness, Headache, Fainting, Vomiting, Nausea, Sharp chest pain.",7,80,61.57142857142857,2,3,0,urgent,False,14,2
Scleroderma,scleroderma,"['Skin lesion', 'Skin rash', 'Skin dryness, peeling, scaliness, or roughness', 'Abnormal appearing skin', 'Itching of skin', 'Skin growth', 'Lip swelling']","['skin-lesion', 'skin-rash', 'skin-dryness-peeling-scaliness-or-roughness', 'abnormal-appearing-skin', 'itching-of-skin', 'skin-growth', 'lip-swelling']","[53, 53, 42, 35, 32, 30, 15]","Condition: Scleroderma. Patient reports: Skin lesion, Skin rash, Skin dryness, peeling, scaliness, or roughness, Abnormal appearing skin, Itching of skin, Skin growth, Lip swelling.",7,53,37.142857142857146,0,1,0,consult_gp,False,24,1
G6PD enzyme deficiency,g6pd-enzyme-deficiency,"['Cough', 'Nasal congestion', 'Excessive growth', 'Wrist weakness', 'Elbow weakness', 'Elbow cramps or spasms', 'Feeling hot and cold']","['cough', 'nasal-congestion', 'excessive-growth', 'wrist-weakness', 'elbow-weakness', 'elbow-cramps-or-spasms', 'feeling-hot-and-cold']","[43, 43, 3, 3, 3, 3, 3]","Condition: G6PD enzyme deficiency. Patient reports: Cough, Nasal congestion, Excessive growth, Wrist weakness, Elbow weakness, Elbow cramps or spasms, Feeling hot and cold.",7,43,14.428571428571429,0,0,1,self_monitor,False,23,0
Foreign body in the ear,foreign-body-in-the-ear,"['Ear pain', 'Diminished hearing', 'Bleeding from ear', 'Fluid in ear', 'Throat feels tight', 'Skin irritation', 'Irregular appearing scalp']","['ear-pain', 'diminished-hearing', 'bleeding-from-ear', 'fluid-in-ear', 'throat-feels-tight', 'skin-irritation', 'irregular-appearing-scalp']","[70, 17, 14, 11, 4, 4, 4]","Condition: Foreign body in the ear. Patient reports: Ear pain, Diminished hearing, Bleeding from ear, Fluid in ear, Throat feels tight, Skin irritation, Irregular appearing scalp.",7,70,17.714285714285715,0,1,0,consult_gp,False,26,1
Dislocation of the finger,dislocation-of-the-finger,"['Hand or finger pain', 'Hand or finger swelling', 'Hand or finger stiffness or tightness', 'Wrist pain', 'Difficulty speaking', 'Joint pain', 'Hysterical behavior']","['hand-or-finger-pain', 'hand-or-finger-swelling', 'hand-or-finger-stiffness-or-tightness', 'wrist-pain', 'difficulty-speaking', 'joint-pain', 'hysterical-behavior']","[79, 38, 18, 13, 7, 7, 7]","Condition: Dislocation of the finger. Patient reports: Hand or finger pain, Hand or finger swelling, Hand or finger stiffness or tightness, Wrist pain, Difficulty speaking, Joint pain, Hysterical behavior.",7,79,24.142857142857142,0,1,0,consult_gp,False,29,1
Anxiety,anxiety,"['Anxiety and nervousness', 'Depression', 'Sharp chest pain', 'Depressive or psychotic symptoms', 'Shortness of breath', 'Headache', 'Insomnia']","['anxiety-and-nervousness', 'depression', 'sharp-chest-pain', 'depressive-or-psychotic-symptoms', 'shortness-of-breath', 'headache', 'insomnia']","[82, 43, 38, 35, 29, 27, 24]","Condition: Anxiety. Patient reports: Anxiety and nervousness, Depression, Sharp chest pain, Depressive or psychotic symptoms, Shortness of breath, Headache, Insomnia.",7,82,39.71428571428572,2,1,0,urgent,False,20,2
Flu,flu,"['Fever', 'Cough', 'Sore throat', 'Nasal congestion', 'Ache all over', 'Flu-like syndrome', 'Headache']","['fever', 'cough', 'sore-throat', 'nasal-congestion', 'ache-all-over', 'flu-like-syndrome', 'headache']","[91, 87, 63, 63, 56, 52, 52]","Condition: Flu. Patient reports: Fever, Cough, Sore throat, Nasal congestion, Ache all over, Flu-like syndrome, Headache.",7,91,66.28571428571429,0,3,1,consult_gp,False,16,1
Anemia,anemia,"['Fatigue', 'Weakness', 'Dizziness', 'Shortness of breath', 'Nosebleed', 'Heavy menstrual flow', 'Melena']","['fatigue', 'weakness', 'dizziness', 'shortness-of-breath', 'nosebleed', 'heavy-menstrual-flow', 'melena']","[32, 28, 27, 26, 8, 8, 4]","Condition: Anemia. Patient reports: Fatigue, Weakness, Dizziness, Shortness of breath, Nosebleed, Heavy menstrual flow, Melena.",7,32,19.0,2,2,0,urgent,False,15,2
Extrapyramidal effect of drugs,extrapyramidal-effect-of-drugs,"['Abnormal involuntary movements', 'Seizures', 'Anxiety and nervousness', 'Disturbance of memory', 'Nausea', 'Cramps and spasms', 'Problems with movement']","['abnormal-involuntary-movements', 'seizures', 'anxiety-and-nervousness', 'disturbance-of-memory', 'nausea', 'cramps-and-spasms', 'problems-with-movement']","[66, 41, 31, 25, 25, 25, 25]","Condition: Extrapyramidal effect of drugs. Patient reports: Abnormal involuntary movements, Seizures, Anxiety and nervousness, Disturbance of memory, Nausea, Cramps and spasms, Problems with movement.",7,66,34.0,1,0,0,urgent,False,24,2
Dislocation of the knee,dislocation-of-the-knee,"['Knee pain', 'Shoulder pain', 'Knee swelling', 'Joint pain', 'Knee stiffness or tightness']","['knee-pain', 'shoulder-pain', 'knee-swelling', 'joint-pain', 'knee-stiffness-or-tightness']","[95, 30, 30, 18, 18]","Condition: Dislocation of the knee. Patient reports: Knee pain, Shoulder pain, Knee swelling, Joint pain, Knee stiffness or tightness.",5,95,38.2,0,1,0,consult_gp,False,19,1
Insect bite,insect-bite,"['Skin rash', 'Abnormal appearing skin', 'Itching of skin', 'Skin swelling', 'Skin lesion', 'Peripheral edema', 'Hand or finger swelling']","['skin-rash', 'abnormal-appearing-skin', 'itching-of-skin', 'skin-swelling', 'skin-lesion', 'peripheral-edema', 'hand-or-finger-swelling']","[71, 47, 46, 31, 26, 19, 17]","Condition: Insect bite. Patient reports: Skin rash, Abnormal appearing skin, Itching of skin, Skin swelling, Skin lesion, Peripheral edema, Hand or finger swelling.",7,71,36.71428571428572,0,2,0,consult_gp,False,23,1
Molluscum contagiosum,molluscum-contagiosum,"['Skin rash', 'Skin swelling', 'Skin lesion', 'Warts', 'Itching of skin', 'Arm lump or mass', 'Abnormal appearing skin']","['skin-rash', 'skin-swelling', 'skin-lesion', 'warts', 'itching-of-skin', 'arm-lump-or-mass', 'abnormal-appearing-skin']","[76, 56, 54, 49, 29, 25, 25]","Condition: Molluscum contagiosum. Patient reports: Skin rash, Skin swelling, Skin lesion, Warts, Itching of skin, Arm lump or mass, Abnormal appearing skin.",7,76,44.85714285714285,0,1,0,self_monitor,True,22,0
Toxoplasmosis,toxoplasmosis,"['Eye redness', 'Diminished vision', 'Itchy scalp', 'Blindness', 'Irregular appearing scalp', 'Elbow weakness', 'Cross-eyed']","['eye-redness', 'diminished-vision', 'itchy-scalp', 'blindness', 'irregular-appearing-scalp', 'elbow-weakness', 'cross-eyed']","[49, 49, 49, 49, 49, 4, 4]","Condition: Toxoplasmosis. Patient reports: Eye redness, Diminished vision, Itchy scalp, Blindness, Irregular appearing scalp, Elbow weakness, Cross-eyed.",7,49,36.142857142857146,0,0,0,self_monitor,False,17,0
